iter	Passed	Remaining
0	127	126874
1	133	66437
2	136	45316
3	139	34671
4	141	28221
5	144	23974
6	148	21005
7	152	18887
8	162	17870
9	165	16427
10	168	15178
11	171	14143
12	175	13359
13	178	12590
14	180	11885
15	183	11264
16	185	10718
17	187	10237
18	192	9916
19	194	9521
20	196	9148
21	198	8823
22	201	8549
23	203	8268
24	206	8064
25	208	7827
26	211	7639
27	213	7428
28	216	7241
29	219	7100
30	222	6939
31	224	6784
32	226	6638
33	228	6504
34	230	6367
35	233	6253
36	235	6135
37	237	6023
38	240	5919
39	254	6098
40	256	5997
41	258	5905
42	260	5808
43	262	5713
44	267	5678
45	269	5590
46	271	5506
47	273	5425
48	275	5345
49	277	5278
50	280	5224
51	282	5152
52	284	5088
53	287	5037
54	290	4992
55	296	4994
56	298	4943
57	300	4887
58	303	4839
59	305	4792
60	308	4743
61	312	4723
62	314	4671
63	315	4620
64	317	4570
65	319	4526
66	321	4478
67	323	4431
68	327	4416
69	329	4375
70	331	4337
71	333	4299
72	335	4263
73	337	4228
74	341	4214
75	343	4178
76	345	4141
77	347	4104
78	349	4076
79	351	4044
80	353	4010
81	357	4005
82	359	3968
83	361	3939
84	364	3918
85	382	4062
86	384	4040
87	389	4041
88	392	4016
89	394	3988
90	397	3973
91	399	3947
92	404	3944
93	406	3922
94	408	3893
95	410	3870
96	413	3847
97	415	3825
98	419	3819
99	421	3795
100	424	3774
101	426	3751
102	428	3728
103	430	3705
104	432	3685
105	437	3689
106	439	3669
107	441	3648
108	443	3628
109	446	3611
110	452	3625
111	458	3633
112	462	3632
113	474	3688
114	483	3722
115	486	3707
116	489	3693
117	496	3707
118	499	3699
119	513	3763
120	527	3829
121	532	3835
122	537	3829
123	539	3814
124	556	3898
125	560	3889
126	563	3874
127	567	3864
128	577	3902
129	581	3889
130	584	3874
131	588	3870
132	591	3856
133	597	3859
134	600	3849
135	605	3844
136	607	3826
137	612	3822
138	614	3806
139	616	3787
140	621	3788
141	623	3764
142	625	3751
143	628	3735
144	630	3716
145	635	3719
146	640	3716
147	644	3708
148	646	3692
149	658	3730
150	661	3719
151	669	3733
152	673	3728
153	684	3758
154	689	3761
155	693	3749
156	696	3739
157	708	3773
158	710	3759
159	716	3762
160	718	3744
161	721	3729
162	724	3720
163	727	3709
164	734	3719
165	737	3705
166	741	3697
167	743	3683
168	752	3698
169	756	3691
170	759	3682
171	768	3701
172	772	3691
173	774	3678
174	782	3687
175	785	3679
176	789	3671
177	796	3676
178	801	3674
179	804	3662
180	808	3658
181	814	3660
182	817	3649
183	820	3638
184	827	3644
185	832	3643
186	835	3631
187	845	3653
188	850	3648
189	877	3739
190	880	3728
191	884	3721
192	889	3719
193	894	3715
194	896	3702
195	899	3688
196	901	3674
197	908	3680
198	911	3668
199	915	3660
200	928	3690
201	934	3690
202	942	3700
203	946	3691
204	964	3742
205	970	3742
206	973	3728
207	975	3714
208	978	3702
209	984	3704
210	987	3693
211	990	3680
212	992	3666
213	994	3653
214	997	3641
215	1000	3633
216	1003	3619
217	1005	3606
218	1007	3593
219	1009	3580
220	1012	3569
221	1018	3567
222	1021	3558
223	1024	3550
224	1031	3551
225	1034	3542
226	1037	3531
227	1039	3519
228	1042	3508
229	1047	3505
230	1055	3514
231	1058	3505
232	1085	3572
233	1088	3562
234	1097	3571
235	1103	3571
236	1105	3560
237	1108	3547
238	1112	3541
239	1114	3530
240	1117	3520
241	1120	3510
242	1123	3498
243	1128	3497
244	1131	3485
245	1133	3474
246	1135	3462
247	1140	3458
248	1143	3449
249	1146	3439
250	1148	3428
251	1150	3416
252	1156	3414
253	1160	3408
254	1163	3398
255	1165	3388
256	1168	3378
257	1174	3377
258	1176	3366
259	1179	3356
260	1183	3351
261	1187	3344
262	1190	3337
263	1193	3328
264	1196	3318
265	1199	3309
266	1205	3310
267	1208	3300
268	1211	3292
269	1214	3283
270	1216	3273
271	1219	3263
272	1221	3253
273	1223	3242
274	1225	3231
275	1228	3221
276	1233	3219
277	1239	3219
278	1242	3211
279	1245	3202
280	1251	3201
281	1255	3197
282	1257	3187
283	1260	3177
284	1264	3171
285	1266	3161
286	1268	3151
287	1270	3140
288	1272	3130
289	1274	3120
290	1276	3109
291	1280	3103
292	1282	3094
293	1284	3084
294	1286	3074
295	1288	3064
296	1290	3054
297	1292	3044
298	1295	3038
299	1298	3029
300	1300	3019
301	1302	3009
302	1304	2999
303	1305	2989
304	1307	2979
305	1311	2975
306	1313	2965
307	1315	2956
308	1318	2947
309	1320	2938
310	1321	2928
311	1325	2921
312	1326	2912
313	1328	2902
314	1331	2895
315	1333	2886
316	1335	2876
317	1337	2867
318	1339	2859
319	1341	2851
320	1343	2842
321	1345	2833
322	1347	2823
323	1349	2814
324	1351	2806
325	1356	2804
326	1358	2796
327	1360	2787
328	1362	2778
329	1363	2768
330	1365	2760
331	1367	2751
332	1369	2742
333	1372	2736
334	1374	2727
335	1376	2719
336	1380	2715
337	1382	2707
338	1384	2699
339	1387	2692
340	1388	2684
341	1391	2676
342	1393	2668
343	1395	2660
344	1397	2652
345	1401	2648
346	1403	2640
347	1405	2633
348	1407	2625
349	1409	2618
350	1411	2610
351	1413	2602
352	1416	2596
353	1418	2588
354	1420	2581
355	1422	2573
356	1425	2567
357	1427	2560
358	1430	2554
359	1432	2547
360	1434	2539
361	1436	2532
362	1438	2524
363	1441	2518
364	1444	2513
365	1446	2505
366	1448	2498
367	1450	2490
368	1452	2482
369	1453	2475
370	1455	2468
371	1458	2462
372	1460	2455
373	1462	2448
374	1464	2440
375	1466	2433
376	1467	2425
377	1469	2418
378	1471	2411
379	1474	2405
380	1475	2398
381	1477	2390
382	1479	2383
383	1481	2376
384	1483	2369
385	1485	2362
386	1486	2355
387	1489	2349
388	1491	2343
389	1494	2337
390	1495	2329
391	1497	2322
392	1499	2315
393	1502	2310
394	1504	2304
395	1506	2298
396	1508	2291
397	1511	2286
398	1514	2280
399	1515	2273
400	1521	2273
401	1527	2272
402	1529	2265
403	1534	2263
404	1536	2257
405	1538	2251
406	1540	2245
407	1542	2238
408	1545	2233
409	1550	2230
410	1552	2225
411	1555	2219
412	1557	2213
413	1559	2207
414	1561	2201
415	1564	2196
416	1567	2191
417	1569	2184
418	1571	2178
419	1573	2172
420	1574	2166
421	1577	2160
422	1581	2156
423	1583	2151
424	1585	2145
425	1587	2139
426	1589	2133
427	1591	2126
428	1593	2120
429	1596	2116
430	1598	2110
431	1601	2105
432	1603	2099
433	1605	2093
434	1607	2088
435	1619	2094
436	1621	2089
437	1623	2083
438	1625	2076
439	1629	2073
440	1630	2067
441	1632	2060
442	1633	2054
443	1636	2048
444	1639	2044
445	1644	2043
446	1646	2037
447	1649	2032
448	1653	2028
449	1654	2022
450	1660	2021
451	1663	2016
452	1667	2014
453	1674	2013
454	1679	2012
455	1683	2008
456	1686	2003
457	1695	2005
458	1698	2002
459	1701	1996
460	1704	1993
461	1710	1991
462	1719	1994
463	1722	1989
464	1724	1984
465	1730	1983
466	1734	1979
467	1736	1974
468	1740	1970
469	1744	1966
470	1749	1964
471	1752	1960
472	1754	1954
473	1757	1950
474	1763	1949
475	1768	1946
476	1771	1942
477	1776	1940
478	1779	1935
479	1782	1930
480	1784	1925
481	1786	1919
482	1791	1917
483	1795	1914
484	1801	1912
485	1809	1914
486	1814	1911
487	1817	1906
488	1819	1901
489	1822	1897
490	1824	1891
491	1827	1887
492	1829	1881
493	1832	1876
494	1838	1875
495	1842	1872
496	1845	1867
497	1854	1869
498	1857	1865
499	1860	1860
500	1863	1855
501	1866	1851
502	1869	1847
503	1871	1842
504	1874	1836
505	1876	1832
506	1882	1830
507	1885	1826
508	1891	1824
509	1893	1819
510	1899	1818
511	1902	1813
512	1905	1808
513	1907	1803
514	1910	1798
515	1913	1795
516	1916	1790
517	1919	1785
518	1921	1781
519	1924	1776
520	1925	1770
521	1931	1768
522	1933	1763
523	1935	1758
524	1937	1753
525	1943	1751
526	1950	1750
527	1953	1746
528	1962	1747
529	1967	1744
530	1970	1740
531	1980	1742
532	1992	1745
533	1996	1742
534	2003	1741
535	2013	1742
536	2023	1744
537	2038	1750
538	2046	1749
539	2048	1745
540	2054	1743
541	2060	1740
542	2062	1735
543	2073	1738
544	2077	1734
545	2081	1730
546	2088	1729
547	2091	1725
548	2096	1722
549	2103	1721
550	2108	1718
551	2112	1714
552	2118	1712
553	2125	1711
554	2132	1709
555	2142	1710
556	2147	1707
557	2149	1702
558	2154	1699
559	2159	1696
560	2162	1692
561	2164	1687
562	2167	1682
563	2170	1677
564	2173	1673
565	2175	1668
566	2179	1664
567	2184	1661
568	2186	1656
569	2188	1651
570	2192	1647
571	2195	1642
572	2200	1639
573	2202	1634
574	2204	1629
575	2207	1625
576	2212	1622
577	2215	1617
578	2218	1612
579	2222	1609
580	2225	1604
581	2228	1600
582	2233	1597
583	2235	1592
584	2238	1587
585	2244	1585
586	2247	1581
587	2249	1576
588	2253	1572
589	2259	1570
590	2262	1565
591	2264	1560
592	2266	1555
593	2268	1550
594	2272	1546
595	2275	1542
596	2277	1537
597	2279	1532
598	2282	1527
599	2283	1522
600	2287	1518
601	2289	1513
602	2291	1508
603	2293	1503
604	2294	1498
605	2296	1493
606	2298	1487
607	2299	1482
608	2302	1478
609	2304	1473
610	2306	1468
611	2307	1463
612	2309	1458
613	2311	1452
614	2312	1447
615	2314	1442
616	2318	1439
617	2320	1434
618	2321	1429
619	2323	1424
620	2325	1419
621	2327	1414
622	2328	1409
623	2331	1405
624	2333	1400
625	2335	1395
626	2336	1390
627	2338	1385
628	2339	1379
629	2340	1374
630	2342	1369
631	2343	1364
632	2346	1360
633	2348	1355
634	2349	1350
635	2351	1345
636	2352	1340
637	2354	1335
638	2355	1330
639	2356	1325
640	2358	1320
641	2359	1315
642	2362	1311
643	2363	1306
644	2365	1301
645	2366	1296
646	2368	1291
647	2369	1287
648	2370	1282
649	2372	1277
650	2373	1272
651	2376	1268
652	2377	1263
653	2379	1258
654	2380	1253
655	2381	1249
656	2383	1244
657	2384	1239
658	2385	1234
659	2387	1229
660	2388	1224
661	2391	1220
662	2393	1216
663	2396	1212
664	2398	1208
665	2400	1203
666	2401	1199
667	2403	1194
668	2405	1190
669	2407	1185
670	2409	1181
671	2410	1176
672	2413	1172
673	2415	1168
674	2416	1163
675	2419	1159
676	2422	1155
677	2425	1151
678	2429	1148
679	2432	1144
680	2437	1141
681	2440	1137
682	2444	1134
683	2447	1130
684	2453	1128
685	2457	1124
686	2460	1121
687	2464	1117
688	2469	1114
689	2472	1110
690	2474	1106
691	2477	1102
692	2479	1098
693	2483	1095
694	2486	1091
695	2488	1086
696	2490	1082
697	2492	1078
698	2494	1074
699	2498	1070
700	2500	1066
701	2503	1062
702	2506	1058
703	2508	1054
704	2514	1052
705	2517	1048
706	2521	1044
707	2524	1041
708	2526	1037
709	2532	1034
710	2535	1030
711	2538	1026
712	2542	1023
713	2550	1021
714	2553	1017
715	2557	1014
716	2562	1011
717	2565	1007
718	2570	1004
719	2573	1000
720	2578	997
721	2583	994
722	2586	990
723	2589	987
724	2593	983
725	2596	980
726	2599	976
727	2601	972
728	2606	968
729	2609	964
730	2611	961
731	2614	957
732	2617	953
733	2619	949
734	2622	945
735	2625	941
736	2627	937
737	2630	933
738	2633	930
739	2638	927
740	2641	923
741	2643	919
742	2647	915
743	2653	913
744	2656	909
745	2658	905
746	2662	901
747	2665	898
748	2671	895
749	2674	891
750	2677	887
751	2681	884
752	2687	881
753	2690	877
754	2693	874
755	2696	870
756	2701	867
757	2704	863
758	2706	859
759	2708	855
760	2710	851
761	2712	847
762	2716	843
763	2719	840
764	2722	836
765	2725	832
766	2729	829
767	2733	825
768	2737	822
769	2740	818
770	2744	815
771	2748	811
772	2752	808
773	2755	804
774	2758	800
775	2765	798
776	2768	794
777	2771	790
778	2780	788
779	2783	785
780	2788	781
781	2791	778
782	2796	775
783	2800	771
784	2803	767
785	2807	764
786	2814	761
787	2817	758
788	2820	754
789	2830	752
790	2835	749
791	2838	745
792	2852	744
793	2860	742
794	2867	739
795	2871	735
796	2878	733
797	2882	729
798	2886	726
799	2891	722
800	2895	719
801	2898	715
802	2901	711
803	2907	708
804	2913	705
805	2917	702
806	2921	698
807	2925	695
808	2928	691
809	2931	687
810	2938	684
811	2942	681
812	2945	677
813	2949	673
814	2954	670
815	2958	667
816	2961	663
817	2964	659
818	2970	656
819	2972	652
820	2974	648
821	2976	644
822	2979	640
823	2984	637
824	2987	633
825	2990	629
826	2992	625
827	3004	624
828	3007	620
829	3012	617
830	3020	614
831	3023	610
832	3027	607
833	3032	603
834	3036	600
835	3039	596
836	3043	592
837	3049	589
838	3052	585
839	3055	581
840	3058	578
841	3067	575
842	3071	572
843	3074	568
844	3078	564
845	3083	561
846	3089	558
847	3091	554
848	3097	550
849	3099	547
850	3102	543
851	3104	539
852	3107	535
853	3112	532
854	3114	528
855	3117	524
856	3122	521
857	3127	517
858	3130	513
859	3132	509
860	3134	506
861	3136	502
862	3143	499
863	3145	495
864	3148	491
865	3159	488
866	3161	485
867	3165	481
868	3173	478
869	3178	474
870	3182	471
871	3188	467
872	3191	464
873	3194	460
874	3196	456
875	3199	452
876	3205	449
877	3207	445
878	3211	442
879	3217	438
880	3222	435
881	3225	431
882	3227	427
883	3229	423
884	3233	420
885	3236	416
886	3238	412
887	3240	408
888	3242	404
889	3244	400
890	3246	397
891	3249	393
892	3251	389
893	3253	385
894	3255	381
895	3257	378
896	3259	374
897	3261	370
898	3265	366
899	3267	363
900	3269	359
901	3272	355
902	3273	351
903	3275	347
904	3278	344
905	3280	340
906	3282	336
907	3283	332
908	3285	328
909	3287	325
910	3288	321
911	3290	317
912	3294	313
913	3296	310
914	3297	306
915	3299	302
916	3301	298
917	3302	294
918	3304	291
919	3308	287
920	3310	283
921	3312	280
922	3314	276
923	3316	272
924	3318	269
925	3321	265
926	3326	261
927	3328	258
928	3330	254
929	3335	251
930	3336	247
931	3340	243
932	3342	240
933	3345	236
934	3347	232
935	3349	229
936	3351	225
937	3354	221
938	3356	218
939	3358	214
940	3360	210
941	3363	207
942	3365	203
943	3368	199
944	3370	196
945	3371	192
946	3373	188
947	3375	185
948	3377	181
949	3379	177
950	3382	174
951	3384	170
952	3385	166
953	3387	163
954	3389	159
955	3390	156
956	3392	152
957	3393	148
958	3397	145
959	3398	141
960	3400	137
961	3401	134
962	3403	130
963	3405	127
964	3406	123
965	3408	119
966	3412	116
967	3415	112
968	3417	109
969	3420	105
970	3425	102
971	3428	98
972	3431	95
973	3433	91
974	3438	88
975	3440	84
976	3443	81
977	3445	77
978	3448	73
979	3451	70
980	3457	66
981	3459	63
982	3462	59
983	3465	56
984	3470	52
985	3473	49
986	3475	45
987	3478	42
988	3481	38
989	3485	35
990	3487	31
991	3490	28
992	3499	24
993	3502	21
994	3505	17
995	3508	14
996	3510	10
997	3515	7
998	3517	3
999	3520	0
