iter	Passed	Remaining
0	112	112646
1	115	57650
2	118	39539
3	122	30469
4	127	25421
5	130	21680
6	175	24840
7	178	22179
8	185	20449
9	188	18647
10	190	17154
11	194	15978
12	196	14939
13	199	14026
14	202	13323
15	205	12639
16	208	12032
17	210	11498
18	213	11012
19	215	10575
20	218	10184
21	220	9818
22	227	9683
23	230	9383
24	233	9101
25	243	9119
26	246	8880
27	249	8653
28	253	8488
29	256	8298
30	259	8106
31	262	7930
32	266	7811
33	269	7647
34	271	7488
35	275	7381
36	279	7270
37	282	7152
38	285	7026
39	287	6909
40	292	6851
41	295	6741
42	300	6694
43	304	6607
44	306	6506
45	310	6443
46	316	6409
47	324	6445
48	327	6361
49	330	6286
50	335	6236
51	337	6157
52	340	6078
53	344	6029
54	346	5955
55	349	5891
56	352	5832
57	355	5779
58	359	5726
59	362	5672
60	364	5618
61	367	5562
62	371	5518
63	374	5475
64	377	5431
65	380	5390
66	383	5342
67	384	5276
68	388	5239
69	397	5280
70	402	5261
71	404	5219
72	407	5177
73	412	5159
74	415	5118
75	417	5081
76	420	5043
77	425	5034
78	431	5027
79	434	4995
80	441	5008
81	445	4985
82	448	4950
83	454	4952
84	457	4922
85	460	4890
86	461	4848
87	471	4882
88	473	4851
89	476	4821
90	486	4855
91	488	4824
92	491	4791
93	499	4810
94	501	4779
95	504	4748
96	512	4774
97	516	4751
98	518	4722
99	524	4723
100	528	4703
101	530	4667
102	533	4643
103	538	4638
104	542	4626
105	545	4601
106	548	4575
107	554	4580
108	557	4556
109	560	4531
110	563	4515
111	569	4512
112	572	4491
113	574	4467
114	577	4443
115	583	4443
116	585	4421
117	588	4399
118	591	4380
119	596	4376
120	600	4364
121	603	4342
122	604	4312
123	610	4311
124	613	4292
125	615	4271
126	618	4254
127	621	4230
128	628	4244
129	632	4235
130	642	4259
131	645	4243
132	647	4224
133	653	4223
134	657	4211
135	659	4192
136	662	4175
137	703	4395
138	706	4376
139	717	4404
140	733	4471
141	737	4454
142	740	4437
143	744	4425
144	752	4439
145	762	4462
146	779	4523
147	783	4510
148	789	4511
149	793	4496
150	809	4550
151	816	4553
152	819	4537
153	823	4525
154	827	4510
155	838	4535
156	841	4519
157	845	4506
158	851	4504
159	862	4529
160	873	4550
161	876	4535
162	879	4518
163	882	4501
164	887	4489
165	896	4501
166	899	4488
167	903	4473
168	906	4458
169	911	4450
170	915	4436
171	918	4423
172	922	4407
173	926	4398
174	931	4391
175	935	4379
176	944	4390
177	947	4374
178	949	4355
179	958	4366
180	960	4344
181	962	4327
182	969	4329
183	972	4310
184	974	4291
185	976	4275
186	984	4281
187	988	4267
188	991	4255
189	994	4239
190	996	4221
191	1006	4237
192	1009	4219
193	1012	4205
194	1020	4211
195	1022	4195
196	1025	4179
197	1030	4175
198	1033	4161
199	1036	4147
200	1039	4130
201	1046	4134
202	1049	4120
203	1051	4103
204	1053	4087
205	1062	4096
206	1065	4080
207	1068	4067
208	1074	4066
209	1077	4054
210	1080	4042
211	1084	4029
212	1088	4021
213	1090	4005
214	1102	4024
215	1105	4012
216	1108	3999
217	1111	3987
218	1114	3974
219	1123	3983
220	1126	3970
221	1130	3960
222	1132	3946
223	1135	3933
224	1138	3921
225	1146	3926
226	1149	3914
227	1151	3900
228	1156	3894
229	1159	3880
230	1164	3875
231	1172	3882
232	1175	3871
233	1178	3857
234	1181	3847
235	1184	3833
236	1186	3819
237	1190	3810
238	1192	3797
239	1195	3784
240	1200	3780
241	1203	3768
242	1205	3755
243	1208	3744
244	1215	3745
245	1218	3735
246	1221	3723
247	1223	3709
248	1230	3712
249	1233	3700
250	1235	3687
251	1244	3693
252	1246	3681
253	1250	3671
254	1255	3667
255	1259	3660
256	1263	3651
257	1266	3641
258	1273	3643
259	1275	3631
260	1277	3618
261	1281	3610
262	1285	3602
263	1288	3592
264	1290	3580
265	1292	3567
266	1300	3570
267	1302	3558
268	1305	3548
269	1308	3538
270	1313	3532
271	1315	3521
272	1318	3510
273	1320	3499
274	1329	3506
275	1332	3495
276	1334	3484
277	1340	3480
278	1342	3470
279	1345	3460
280	1348	3450
281	1353	3444
282	1356	3436
283	1359	3426
284	1361	3416
285	1368	3415
286	1371	3406
287	1373	3396
288	1376	3387
289	1383	3386
290	1386	3378
291	1389	3369
292	1392	3359
293	1397	3354
294	1399	3345
295	1402	3335
296	1407	3332
297	1411	3324
298	1414	3316
299	1417	3307
300	1426	3311
301	1429	3304
302	1432	3294
303	1436	3289
304	1439	3279
305	1442	3270
306	1445	3262
307	1455	3269
308	1457	3259
309	1459	3249
310	1467	3252
311	1470	3242
312	1473	3233
313	1480	3234
314	1482	3224
315	1485	3216
316	1488	3207
317	1491	3199
318	1494	3190
319	1497	3181
320	1499	3171
321	1501	3162
322	1508	3161
323	1510	3152
324	1513	3142
325	1516	3135
326	1522	3133
327	1525	3125
328	1527	3116
329	1530	3107
330	1535	3104
331	1538	3095
332	1541	3086
333	1546	3084
334	1550	3078
335	1553	3069
336	1556	3061
337	1558	3052
338	1563	3048
339	1566	3039
340	1568	3031
341	1571	3022
342	1576	3019
343	1580	3013
344	1583	3006
345	1585	2997
346	1588	2988
347	1593	2985
348	1595	2975
349	1597	2966
350	1600	2958
351	1603	2951
352	1605	2943
353	1608	2934
354	1610	2925
355	1612	2917
356	1616	2911
357	1620	2905
358	1622	2897
359	1625	2889
360	1631	2888
361	1634	2880
362	1637	2872
363	1640	2866
364	1645	2862
365	1648	2855
366	1651	2848
367	1654	2841
368	1660	2839
369	1663	2831
370	1665	2823
371	1668	2816
372	1672	2811
373	1676	2805
374	1678	2798
375	1682	2791
376	1686	2786
377	1689	2780
378	1692	2772
379	1695	2765
380	1697	2757
381	1703	2756
382	1706	2749
383	1709	2741
384	1715	2740
385	1718	2733
386	1722	2728
387	1725	2720
388	1730	2717
389	1733	2710
390	1735	2703
391	1738	2696
392	1741	2690
393	1749	2691
394	1752	2683
395	1756	2678
396	1759	2672
397	1762	2666
398	1765	2658
399	1776	2665
400	1779	2658
401	1782	2651
402	1786	2646
403	1792	2644
404	1795	2637
405	1797	2630
406	1800	2622
407	1803	2617
408	1807	2611
409	1810	2606
410	1813	2598
411	1815	2591
412	1821	2589
413	1824	2582
414	1827	2575
415	1831	2570
416	1834	2565
417	1838	2560
418	1841	2553
419	1844	2547
420	1850	2545
421	1853	2538
422	1855	2531
423	1860	2527
424	1863	2521
425	1865	2514
426	1869	2508
427	1872	2502
428	1877	2498
429	1879	2491
430	1882	2485
431	1884	2478
432	1890	2475
433	1892	2468
434	1895	2461
435	1897	2455
436	1900	2449
437	1905	2445
438	1908	2439
439	1911	2432
440	1913	2426
441	1920	2424
442	1923	2417
443	1925	2411
444	1932	2409
445	1935	2404
446	1938	2398
447	1942	2392
448	1948	2390
449	1951	2384
450	1953	2378
451	1956	2371
452	1963	2371
453	1967	2365
454	1972	2362
455	1975	2356
456	1977	2349
457	1981	2345
458	1987	2342
459	1990	2336
460	1992	2330
461	1995	2323
462	2002	2322
463	2004	2315
464	2007	2309
465	2011	2305
466	2015	2300
467	2019	2295
468	2021	2288
469	2024	2282
470	2030	2280
471	2034	2275
472	2037	2269
473	2040	2264
474	2043	2258
475	2046	2252
476	2048	2246
477	2056	2245
478	2059	2239
479	2062	2234
480	2066	2229
481	2071	2226
482	2074	2220
483	2077	2214
484	2085	2214
485	2088	2208
486	2090	2202
487	2093	2196
488	2100	2194
489	2103	2189
490	2105	2182
491	2109	2177
492	2112	2172
493	2116	2167
494	2118	2161
495	2121	2155
496	2127	2153
497	2130	2147
498	2133	2141
499	2137	2137
500	2142	2133
501	2146	2129
502	2148	2123
503	2152	2117
504	2158	2115
505	2161	2109
506	2163	2103
507	2167	2099
508	2171	2094
509	2173	2088
510	2176	2082
511	2178	2076
512	2184	2073
513	2187	2067
514	2189	2062
515	2192	2056
516	2194	2050
517	2197	2044
518	2199	2038
519	2202	2033
520	2206	2028
521	2210	2023
522	2214	2019
523	2217	2014
524	2220	2008
525	2223	2003
526	2229	2000
527	2231	1995
528	2234	1989
529	2239	1985
530	2243	1981
531	2246	1976
532	2249	1970
533	2255	1967
534	2257	1962
535	2260	1956
536	2264	1952
537	2267	1946
538	2270	1941
539	2272	1936
540	2275	1930
541	2282	1928
542	2285	1923
543	2287	1917
544	2291	1912
545	2294	1907
546	2297	1902
547	2300	1897
548	2308	1896
549	2311	1890
550	2314	1885
551	2318	1881
552	2322	1877
553	2325	1872
554	2328	1866
555	2331	1861
556	2337	1859
557	2340	1853
558	2343	1848
559	2350	1846
560	2352	1840
561	2355	1836
562	2359	1831
563	2364	1828
564	2367	1823
565	2370	1817
566	2375	1813
567	2378	1808
568	2380	1803
569	2384	1798
570	2387	1793
571	2390	1788
572	2393	1783
573	2399	1780
574	2402	1775
575	2405	1770
576	2410	1767
577	2416	1764
578	2451	1782
579	2453	1776
580	2456	1771
581	2460	1767
582	2463	1762
583	2466	1756
584	2473	1755
585	2476	1749
586	2480	1744
587	2485	1741
588	2489	1736
589	2493	1732
590	2495	1727
591	2502	1724
592	2507	1720
593	2510	1715
594	2519	1714
595	2522	1709
596	2530	1708
597	2535	1704
598	2540	1700
599	2547	1698
600	2551	1693
601	2557	1690
602	2562	1686
603	2565	1682
604	2568	1676
605	2571	1671
606	2580	1670
607	2582	1665
608	2586	1660
609	2592	1657
610	2595	1652
611	2598	1647
612	2605	1644
613	2607	1639
614	2610	1633
615	2613	1629
616	2620	1626
617	2624	1622
618	2632	1620
619	2637	1616
620	2640	1611
621	2644	1606
622	2648	1602
623	2652	1598
624	2655	1593
625	2664	1591
626	2667	1586
627	2669	1581
628	2672	1576
629	2680	1574
630	2683	1569
631	2686	1564
632	2695	1562
633	2698	1557
634	2702	1553
635	2707	1549
636	2710	1544
637	2713	1539
638	2716	1534
639	2720	1530
640	2722	1524
641	2728	1521
642	2730	1516
643	2732	1510
644	2736	1506
645	2739	1501
646	2742	1496
647	2745	1491
648	2752	1488
649	2755	1483
650	2757	1478
651	2762	1474
652	2766	1470
653	2768	1464
654	2775	1461
655	2778	1457
656	2780	1451
657	2783	1446
658	2789	1443
659	2792	1438
660	2794	1433
661	2798	1428
662	2801	1424
663	2804	1419
664	2807	1414
665	2810	1409
666	2816	1406
667	2819	1401
668	2821	1396
669	2824	1391
670	2828	1387
671	2831	1382
672	2834	1377
673	2837	1372
674	2840	1367
675	2845	1363
676	2848	1359
677	2851	1354
678	2855	1349
679	2857	1344
680	2859	1339
681	2863	1335
682	2870	1332
683	2873	1327
684	2876	1322
685	2878	1317
686	2885	1314
687	2887	1309
688	2890	1304
689	2894	1300
690	2897	1295
691	2900	1291
692	2903	1286
693	2906	1281
694	2909	1276
695	2913	1272
696	2916	1267
697	2918	1262
698	2924	1259
699	2928	1255
700	2931	1250
701	2935	1246
702	2939	1242
703	2945	1238
704	2947	1233
705	2954	1230
706	2957	1225
707	2960	1220
708	2962	1215
709	2969	1213
710	2972	1208
711	2975	1203
712	2978	1198
713	2984	1195
714	2987	1190
715	2989	1185
716	2998	1183
717	3000	1178
718	3003	1173
